file_name,production_number,plate_count,rivet,die,upper_type,upper_thickness,middle_type,middle_thickness,lower_type,lower_thickness,head_height,caption
SPR2_BG0G46E(DEHG13598)_SABC1470(1.1t)_A365.0(3.0t)_001.png,1st,2,BG0G46E,DEHG13598,SABC1470,1.1,,,A365.0,3.0,0.3395354566597028,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SABC1470 with 1.1 mm thickness, lower plate is orange and type A365.0 with 3.0 mm thickness, head height from rivet top to upper plate is 0.3395 mm"
SPR2_BG0G46E(DEHG13598)_SABC1470(1.1t)_A365.0(3.0t)_002.png,1st,2,BG0G46E,DEHG13598,SABC1470,1.1,,,A365.0,3.0,0.23769692494130124,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SABC1470 with 1.1 mm thickness, lower plate is orange and type A365.0 with 3.0 mm thickness, head height from rivet top to upper plate is 0.2377 mm"
SPR2_BG0G46E(DEHG13598)_SABC1470(1.1t)_A365.0(3.0t)_003.png,1st,2,BG0G46E,DEHG13598,SABC1470,1.1,,,A365.0,3.0,0.22033995356425704,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SABC1470 with 1.1 mm thickness, lower plate is orange and type A365.0 with 3.0 mm thickness, head height from rivet top to upper plate is 0.2203 mm"
SPR2_BG0G46E(DEHG13598)_SABC1470(1.1t)_A365.0(3.0t)_004.png,1st,2,BG0G46E,DEHG13598,SABC1470,1.1,,,A365.0,3.0,0.19329454496185436,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SABC1470 with 1.1 mm thickness, lower plate is orange and type A365.0 with 3.0 mm thickness, head height from rivet top to upper plate is 0.1933 mm"
SPR2_BG0G46E(DEHG13598)_SABC1470(1.1t)_A365.0(3.0t)_005.png,1st,2,BG0G46E,DEHG13598,SABC1470,1.1,,,A365.0,3.0,0.19617775249055308,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SABC1470 with 1.1 mm thickness, lower plate is orange and type A365.0 with 3.0 mm thickness, head height from rivet top to upper plate is 0.1962 mm"
SPR2_BG0G46E(DEHG13598)_SABC1470(1.1t)_A6N01(2.5t)_001.png,1st,2,BG0G46E,DEHG13598,SABC1470,1.1,,,A6N01,2.5,0.14337691614066728,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SABC1470 with 1.1 mm thickness, lower plate is orange and type A6N01 with 2.5 mm thickness, head height from rivet top to upper plate is 0.1434 mm"
SPR2_BG0G46E(DEHG13598)_SABC1470(1.1t)_A6N01(2.5t)_002.png,1st,2,BG0G46E,DEHG13598,SABC1470,1.1,,,A6N01,2.5,0.21258799171842652,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SABC1470 with 1.1 mm thickness, lower plate is orange and type A6N01 with 2.5 mm thickness, head height from rivet top to upper plate is 0.2126 mm"
SPR2_BG0G46E(DEHG13598)_SABC1470(1.1t)_A6N01(2.5t)_003.png,1st,2,BG0G46E,DEHG13598,SABC1470,1.1,,,A6N01,2.5,0.22194658512912174,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SABC1470 with 1.1 mm thickness, lower plate is orange and type A6N01 with 2.5 mm thickness, head height from rivet top to upper plate is 0.2219 mm"
SPR2_BG0G46E(DEHG13598)_SABC1470(1.1t)_A6N01(2.5t)_004.png,1st,2,BG0G46E,DEHG13598,SABC1470,1.1,,,A6N01,2.5,0.19600390072442028,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SABC1470 with 1.1 mm thickness, lower plate is orange and type A6N01 with 2.5 mm thickness, head height from rivet top to upper plate is 0.1960 mm"
SPR2_BG0G46E(DEHG13598)_SABC1470(1.1t)_A6N01(2.5t)_005.png,1st,2,BG0G46E,DEHG13598,SABC1470,1.1,,,A6N01,2.5,0.2196871718344111,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG13598, upper plate is dark blue and type SABC1470 with 1.1 mm thickness, lower plate is orange and type A6N01 with 2.5 mm thickness, head height from rivet top to upper plate is 0.2197 mm"
SPR2_BG0G46E(DEHG14032)_SGACUD(0.9t)_A365.0(3.5t)_001.png,1st,2,BG0G46E,DEHG14032,SGACUD,0.9,,,A365.0,3.5,0.059863562894178046,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGACUD with 0.9 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is 0.0599 mm"
SPR2_BG0G46E(DEHG14032)_SGACUD(0.9t)_A365.0(3.5t)_002.png,1st,2,BG0G46E,DEHG14032,SGACUD,0.9,,,A365.0,3.5,0.013921756520289976,"a segmentation mask of self-piercing rivet consisting of 2 plates, rivet is green and type BG0G46E, die is omitted, but type DEHG14032, upper plate is dark blue and type SGACUD with 0.9 mm thickness, lower plate is orange and type A365.0 with 3.5 mm thickness, head height from rivet top to upper plate is 0.0139 mm"
